Election Co,mmissi,on of India,- General Election,"s, 1991(10th LO",K SABHA),,,,,,
,,,,,,,,,,,
,,N,INC,,,,2,2,0,281562,56.62%
,,,,,,,,,,,
,,Z,IND,,,,6,0,4,175287,35.25%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,12,2,8,497310,
,,,,,,,,,,,
MIZORAM,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,91612,38.08%
,,,,,,,,,,,
,,N,JD,,,,1,0,0,56491,23.48%
,,,,,,,,,,,
,,S,MNF,,,,1,0,0,82019,34.09%
,,,,,,,,,,,
,,Z,IND,,,,4,0,4,10473,4.35%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,7,1,4,240595,
"ELECTIONS - INDIA, 1991",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
NAGALAND,1,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,1,0,1,18655,3.00%,,,,
,,,,,,,,,,,
,N,INC,1,0,0,276161,44.34%,,,,
,,,,,,,,,,,
,S,NPC,1,1,0,328015,52.67%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",3,1,1,622831,,,,,
,,,,,,,,,,,
ORISSA,21,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,21,0,18,991579,9.50%,,,,
,,,,,,,,,,,
,N,CPI,1,1,0,321635,3.08%,,,,
,,,,,,,,,,,
,N,CPM,1,1,0,214429,2.05%,,,,
,,,,,,,,,,,
,N,INC,21,13,0,4598809,44.05%,,,,
,,,,,,,,,,,
,N,JD,19,6,0,3614451,34.62%,,,,
,,,,,,,,,,,
,N,JP,18,0,17,309594,2.97%,,,,
,,,,,,,,,,,
,N,LKD,2,0,2,3151,0.03%,,,,
,,,,,,,,,,,
,S,BSP,7,0,7,15567,0.15%,,,,
,,,,,,,,,,,
,S,JMM,2,0,2,66882,0.64%,,,,
,,,,,,,,,,,
,U,BKUS,1,0,1,2578,0.02%,,,,
,,,,,,,,,,,
,U,DDP,10,0,10,21413,0.21%,,,,
,,,,,,,,,,,
,U,HJP,1,0,1,3705,0.04%,,,,
,,,,,,,,,,,
,U,JKP,2,0,2,9079,0.09%,,,,
,,,,,,,,,,,
,U,JNP,2,0,2,9704,0.09%,,,,
,,,,,,,,,,,
,U,OVP,7,0,7,15893,0.15%,,,,
,,,,,,,,,,,
,U,PBI,5,0,5,10051,0.10%,,,,
,,,,,,,,,,,
,Z,IND,94,0,94,232355,2.23%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",214,21,168,10440875,,,,,
,,,,,,,,,,,
RAJASTHAN,25,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,25,12,0,5027446,40.88%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,16203,0.13%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,82945,0.67%,,,,
,,,,,,,,,,,
,N,INC,25,13,0,5407144,43.97%,,,,
,,,,,,,,,,,
,N,JD,22,0,19,757157,6.16%,,,,
,,,,,,,,,,,
,N,JP,21,0,20,398385,3.24%,,,,
,,,,,,,,,,,
,N,LKD,5,0,5,4219,0.03%,,,,
,,,,,,,,,,,
,S,BSP,2,0,2,13989,0.11%,,,,
,,,,,,,,,,,
,S,FBL,2,0,2,434,0.00%,,,,
,,,,,,,,,,,
,S,MUL,4,0,4,920,0.01%,,,,
,,,,,,,,,,,
,S,SAD(M),2,0,2,78166,0.64%,,,,
,,,,,,,,,,,
,U,AHF,1,0,1,1631,0.01%,,,,
,,,,,,,,,,,
,U,DDP,21,0,21,28688,0.23%,,,,
,,,,,,,,,,,
,U,HMS,3,0,3,3409,0.03%,,,,
,,,,,,,,,,,
,U,IDP,1,0,1,2078,0.02%,,,,
,,,,,,,,,,,
,U,JKMP,1,0,1,1503,0.01%,,,,
,,,,,,,,,,,
,U,MSD,4,0,4,4325,0.04%,,,,
"ELECTIONS - INDIA, 1",991,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
RAJASTHAN,,25,,,,,,,,,
,,,,,,,,,,,
,,U,MUB,,,,1,0,1,251,0.00%
,,,,,,,,,,,
,,U,SOP(L),,,,2,0,2,1318,0.01%
,,,,,,,,,,,
,,U,SP,,,,2,0,2,4642,0.04%
,,,,,,,,,,,
,,Z,IND,,,,380,0,380,461969,3.76%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,526,25,472,12296822,
,,,,,,,,,,,
SIKKIM,,1,,,,,,,,,
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,3372,2.92%
,,,,,,,,,,,
,,S,SSP,,,,1,1,0,103970,90.12%
,,,,,,,,,,,
,,Z,IND,,,,5,0,5,8031,6.96%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,7,1,6,115373,
,,,,,,,,,,,
TAMIL NADU,,39,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,15,0,14,406869,1.65%
,,,,,,,,,,,
,,N,CPI,,,,2,0,0,503762,2.04%
,,,,,,,,,,,
,,N,CPM,,,,3,0,0,611358,2.48%
,,,,,,,,,,,
,,N,INC,,,,28,28,0,10510569,42.57%
,,,,,,,,,,,
,,N,JD,,,,5,0,0,718222,2.91%
,,,,,,,,,,,
,,N,JP,,,,11,0,11,40819,0.17%
,,,,,,,,,,,
,,N,LKD,,,,3,0,3,3097,0.01%
,,,,,,,,,,,
,,S,ADK,,,,11,11,0,4470542,18.10%
,,,,,,,,,,,
,,S,BSP,,,,2,0,2,3783,0.02%
,,,,,,,,,,,
,,S,DMK,,,,29,0,0,5601597,22.69%
,,,,,,,,,,,
,,S,MUL,,,,4,0,4,97660,0.40%
,,,,,,,,,,,
,,S,PMK,,,,31,0,28,1269690,5.14%
,,,,,,,,,,,
,,U,AMI,,,,3,0,3,8252,0.03%
,,,,,,,,,,,
,,U,DDP,,,,3,0,3,5265,0.02%
,,,,,,,,,,,
,,U,GMK,,,,1,0,1,1030,0.00%
,,,,,,,,,,,
,,U,IML,,,,1,0,1,31387,0.13%
,,,,,,,,,,,
,,U,MGMK,,,,1,0,1,228,0.00%
,,,,,,,,,,,
,,U,MHA,,,,2,0,2,1692,0.01%
,,,,,,,,,,,
,,U,MPP,,,,1,0,1,138,0.00%
,,,,,,,,,,,
,,U,SLL,,,,1,0,1,246,0.00%
,,,,,,,,,,,
,,U,TMK,,,,1,0,1,665,0.00%
,,,,,,,,,,,
,,U,TMM,,,,28,0,28,51744,0.21%
,,,,,,,,,,,
,,Z,IND,,,,275,0,275,353719,1.43%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,461,39,379,24692334,
,,,,,,,,,,,
TRIPURA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,0,2,30359,2.99%
,,,,,,,,,,,
,,N,CPM,,,,2,0,2,66542,6.54%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,842179,82.83%
,,,,,,,,,,,
,,U,AMB,,,,2,0,2,30760,3.03%
"ELECTIONS - INDIA, 1991",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
TRIPURA,2,,,,,,,,,,
,,,,,,,,,,,
,U,CPI(ML),1,0,1,5915,0.58%,,,,
,,,,,,,,,,,
,U,IPF,1,0,1,1157,0.11%,,,,
,,,,,,,,,,,
,Z,IND,7,0,7,39796,3.91%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",17,2,15,1016708,,,,,
,,,,,,,,,,,
UTTAR PRADESH 8,5,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,84,51,4,12306701,32.82%,,,,
,,,,,,,,,,,
,N,CPI,4,1,1,388301,1.04%,,,,
,,,,,,,,,,,
,N,CPM,3,0,1,274686,0.73%,,,,
,,,,,,,,,,,
,N,ICS(SCS),2,0,2,51940,0.14%,,,,
,,,,,,,,,,,
,N,INC,80,5,40,6755015,18.02%,,,,
,,,,,,,,,,,
,N,JD,73,22,21,7975042,21.27%,,,,
,,,,,,,,,,,
,N,JP,81,4,64,3921092,10.46%,,,,
,,,,,,,,,,,
,N,LKD,19,0,19,90165,0.24%,,,,
,,,,,,,,,,,
,S,BSP,67,1,52,3260327,8.70%,,,,
,,,,,,,,,,,
,S,FBL,4,0,4,5574,0.01%,,,,
,,,,,,,,,,,
,S,RPI,3,0,3,10810,0.03%,,,,
,,,,,,,,,,,
,S,SHS,5,0,5,7321,0.02%,,,,
,,,,,,,,,,,
,S,SSP,1,0,1,2277,0.01%,,,,
,,,,,,,,,,,
,U,ABGP,1,0,1,314,0.00%,,,,
,,,,,,,,,,,
,U,ALD,1,0,1,1544,0.00%,,,,
,,,,,,,,,,,
,U,AUM,2,0,2,2542,0.01%,,,,
,,,,,,,,,,,
,U,BJS,2,0,2,3765,0.01%,,,,
,,,,,,,,,,,
,U,BKUS,9,0,9,15440,0.04%,,,,
,,,,,,,,,,,
,U,BLMD,4,0,4,9620,0.03%,,,,
,,,,,,,,,,,
,U,BRP,2,0,2,4432,0.01%,,,,
,,,,,,,,,,,
,U,DDP,77,0,77,144421,0.39%,,,,
,,,,,,,,,,,
,U,DMM,1,0,1,147,0.00%,,,,
,,,,,,,,,,,
,U,HKSP,2,0,2,12820,0.03%,,,,
,,,,,,,,,,,
,U,HMS,15,0,15,49836,0.13%,,,,
,,,,,,,,,,,
,U,IPF,2,0,2,10013,0.03%,,,,
,,,,,,,,,,,
,U,JJP,1,0,1,1245,0.00%,,,,
,,,,,,,,,,,
,U,JKMP,1,0,1,1966,0.01%,,,,
,,,,,,,,,,,
,U,JNP,7,0,7,10064,0.03%,,,,
,,,,,,,,,,,
,U,LTP,1,0,1,408,0.00%,,,,
,,,,,,,,,,,
,U,MDL,1,0,1,573,0.00%,,,,
,,,,,,,,,,,
,U,MSD,2,0,2,4686,0.01%,,,,
,,,,,,,,,,,
,U,NP,2,0,2,1000,0.00%,,,,
,,,,,,,,,,,
,U,PBI,2,0,2,1719,0.00%,,,,
,,,,,,,,,,,
,U,RRP(S),3,0,3,2096,0.01%,,,,
,,,,,,,,,,,
,U,SHS(R),1,0,1,8810,0.02%,,,,
,,,,,,,,,,,
,U,SOP(L),3,0,3,7377,0.02%,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page 10 of,14),,,,10,0,,,,,
"ELECTIONS - INDIA, 1",991,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,
,,,,,,,,,,,
"STATE/UT,",,,,SEATS,,,VOTES,% OF,,,
NUMBER OF,PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,
CONSTITUENCIES,TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,
,,,,,,,,,,,
1,,2,3,4,5,6,7,8,,,
,,,,,,,,,,,
UTTAR PRADESH,8,5,,,,,,,,,
,,,,,,,,,,,
,,U,SOP(RP),3,0,3,7104,0.02%,,,
,,,,,,,,,,,
,,U,SSD,4,0,4,11408,0.03%,,,
,,,,,,,,,,,
,,U,UKD,4,0,4,47369,0.13%,,,
,,,,,,,,,,,
,,U,UPRP,10,0,10,28379,0.08%,,,
,,,,,,,,,,,
,,Z,IND,1016,0,1013,2054320,5.48%,,,
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats, Valid Votes) :",1605,84,1393,37492669,,,,
,,,,,,,,,,,
WEST BENGAL,4,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,42,0,34,3624974,11.66%,,,
,,,,,,,,,,,
,,N,CPI,3,3,0,1145564,3.69%,,,
,,,,,,,,,,,
,,N,CPM,30,27,0,10934583,35.19%,,,
,,,,,,,,,,,
,,N,INC,39,5,0,10834675,34.86%,,,
,,,,,,,,,,,
,,N,JD,2,0,0,339351,1.09%,,,
,,,,,,,,,,,
,,N,JP,20,0,20,74732,0.24%,,,
,,,,,,,,,,,
,,N,LKD,2,0,2,1963,0.01%,,,
,,,,,,,,,,,
,,S,BSP,27,0,27,116158,0.37%,,,
,,,,,,,,,,,
,,S,FBL,3,3,0,1133038,3.65%,,,
,,,,,,,,,,,
,,S,JMM,4,0,4,79405,0.26%,,,
,,,,,,,,,,,
,,S,MUL,8,0,8,30215,0.10%,,,
,,,,,,,,,,,
,,S,RSP,4,4,0,1402615,4.51%,,,
,,,,,,,,,,,
,,U,AMB,1,0,1,2769,0.01%,,,
,,,,,,,,,,,
,,U,BJS,4,0,4,12105,0.04%,,,
,,,,,,,,,,,
,,U,BKUS,1,0,1,694,0.00%,,,
,,,,,,,,,,,
,,U,CPI(ML),3,0,3,21815,0.07%,,,
,,,,,,,,,,,
,,U,DDP,26,0,26,43366,0.14%,,,
,,,,,,,,,,,
,,U,DMM,1,0,1,1952,0.01%,,,
,,,,,,,,,,,
,,U,HJP,2,0,2,11615,0.04%,,,
,,,,,,,,,,,
,,U,HMS,4,0,4,3535,0.01%,,,
,,,,,,,,,,,
,,U,HSS,5,0,5,5325,0.02%,,,
,,,,,,,,,,,
,,U,IPF,1,0,1,15587,0.05%,,,
,,,,,,,,,,,
,,U,JKP,2,0,1,225519,0.73%,,,
,,,,,,,,,,,
,,U,JNP,1,0,1,1746,0.01%,,,
,,,,,,,,,,,
,,U,MCPI,1,0,1,3208,0.01%,,,
,,,,,,,,,,,
,,U,MIM,1,0,1,2077,0.01%,,,
,,,,,,,,,,,
,,U,SUP,1,0,1,216,0.00%,,,
,,,,,,,,,,,
,,U,WPI,1,0,1,1781,0.01%,,,
,,,,,,,,,,,
,,Z,IND,154,0,152,1006171,3.24%,,,
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats, Valid Votes) :",393,42,301,31076754,,,,
,,,,,,,,,,,
MAN & NICOBAR,,1,,,,,,,,,
ISLANDS,,,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,1,0,1,5208,4.85%,,,
,,,,,,,,,,,
,,N,CPM,1,0,0,47374,44.14%,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page,11 of,14),,,,10,1,,,,
"ELECTIONS - INDIA, 1",991,,,,,,VO,TES POLLE,D IN STA,TES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,V,OTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- S,EATS FD I,N P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED,WON SEA,TS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5 6,,7,8
,,,,,,,,,,,
MAN & NICOBAR,,1,,,,,,,,,
ISLANDS,,,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,54075,50.39%
,,,,,,,,,,,
,,Z,IND,,,,2,0,2,659,0.61%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,5,1,3,107316,
,,,,,,,,,,,
CHANDIGARH,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,0,61533,28.80%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,76628,35.86%
,,,,,,,,,,,
,,N,JD,,,,1,0,1,5905,2.76%
,,,,,,,,,,,
,,N,JP,,,,1,0,0,50177,23.48%
,,,,,,,,,,,
,,S,BSP,,,,1,0,1,10068,4.71%
,,,,,,,,,,,
,,S,FBL,,,,1,0,1,112,0.05%
,,,,,,,,,,,
,,U,DDP,,,,1,0,1,154,0.07%
,,,,,,,,,,,
,,U,KMS,,,,1,0,1,193,0.09%
,,,,,,,,,,,
,,U,MPP,,,,1,0,1,87,0.04%
,,,,,,,,,,,
,,Z,IND,,,,46,0,46,8805,4.12%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,55,1,52,213662,
,,,,,,,,,,,
& NAGAR HAVELI,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,0,17142,35.39%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,29907,61.74%
,,,,,,,,,,,
,,S,BSP,,,,1,0,1,876,1.81%
,,,,,,,,,,,
,,U,DDP,,,,1,0,1,84,0.17%
,,,,,,,,,,,
,,Z,IND,,,,1,0,1,430,0.89%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,5,1,3,48439,
,,,,,,,,,,,
DAMAN & DIU,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,1,0,12095,31.88%
,,,,,,,,,,,
,,N,INC,,,,1,0,0,8623,22.73%
,,,,,,,,,,,
,,N,JD,,,,1,0,1,1036,2.73%
,,,,,,,,,,,
,,U,DDP,,,,1,0,1,45,0.12%
,,,,,,,,,,,
,,Z,IND,,,,8,0,7,16138,42.54%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,12,1,9,37937,
,,,,,,,,,,,
TIONAL CAPITAL,,7,,,,,,,,,
RITORY OF DELHI,,,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,7,5,0,1171156,40.21%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,2800,0.10%
,,,,,,,,,,,
,,N,INC,,,,7,2,0,1152627,39.57%
,,,,,,,,,,,
,,N,JD,,,,7,0,5,413933,14.21%
,,,,,,,,,,,
,,N,JP,,,,7,0,7,35902,1.23%
,,,,,,,,,,,
,,N,LKD,,,,4,0,4,1624,0.06%
,,,,,,,,,,,
,,S,BSP,,,,7,0,7,26865,0.92%
,,,,,,,,,,,
,,S,FBL,,,,2,0,2,468,0.02%
,,,,,,,,,,,
dinStates/UTsbyParties - Page,12 of,14),,,,,,,10,2,
"ELECTIONS - INDIA, 1",991,,,VO,TES POLLE,D IN STA,TES BY,PARTIES,,,
,,,,,,,,,,,
"STATE/UT,",,,,SEATS,,V,OTES,% OF,,,
NUMBER OF,PAR,TY,PARTY,CONT- S,EATS FD I,N P,OLLED,VOTES,,,
CONSTITUENCIES,TY,PE,,ESTED,WON SEAT,S BY,PARTY,POLLED,,,
,,,,,,,,,,,
1,,2,3,4,5 6,,7,8,,,
,,,,,,,,,,,
TIONAL CAPITAL,,7,,,,,,,,,
RITORY OF DELHI,,,,,,,,,,,
,,,,,,,,,,,
,,S,JPP,2,0,2,587,0.02%,,,
,,,,,,,,,,,
,,S,MUL,2,0,2,1401,0.05%,,,
,,,,,,,,,,,
,,S,RPI,3,0,3,530,0.02%,,,
,,,,,,,,,,,
,,S,SAD(M),1,0,1,9918,0.34%,,,
,,,,,,,,,,,
,,U,AUM,1,0,1,113,0.00%,,,
,,,,,,,,,,,
,,U,AZP,1,0,1,67,0.00%,,,
,,,,,,,,,,,
,,U,BDP,1,0,1,155,0.01%,,,
,,,,,,,,,,,
,,U,BLMD,5,0,5,1217,0.04%,,,
,,,,,,,,,,,
,,U,BSNP,1,0,1,120,0.00%,,,
,,,,,,,,,,,
,,U,DBP,5,0,5,1521,0.05%,,,
,,,,,,,,,,,
,,U,DDP,5,0,5,1158,0.04%,,,
,,,,,,,,,,,
,,U,DMM,1,0,1,115,0.00%,,,
,,,,,,,,,,,
,,U,DND,6,0,6,5436,0.19%,,,
,,,,,,,,,,,
,,U,HMS,2,0,2,305,0.01%,,,
,,,,,,,,,,,
,,U,HSD,1,0,1,193,0.01%,,,
,,,,,,,,,,,
,,U,JC,1,0,1,194,0.01%,,,
,,,,,,,,,,,
,,U,JEM,1,0,1,34,0.00%,,,
,,,,,,,,,,,
,,U,JKMP,1,0,1,1109,0.04%,,,
,,,,,,,,,,,
,,U,JNP,3,0,3,474,0.02%,,,
,,,,,,,,,,,
,,U,KMS,1,0,1,2118,0.07%,,,
,,,,,,,,,,,
,,U,LHM,2,0,2,532,0.02%,,,
,,,,,,,,,,,
,,U,LPI(P),1,0,1,684,0.02%,,,
,,,,,,,,,,,
,,U,MUB,3,0,3,940,0.03%,,,
,,,,,,,,,,,
,,U,PRC,5,0,5,605,0.02%,,,
,,,,,,,,,,,
,,U,RPI(A),1,0,1,521,0.02%,,,
,,,,,,,,,,,
,,U,RPK,1,0,1,164,0.01%,,,
,,,,,,,,,,,
,,U,RUD,2,0,2,316,0.01%,,,
,,,,,,,,,,,
,,U,SMP,2,0,2,2227,0.08%,,,
,,,,,,,,,,,
,,Z,IND,399,0 39,9,74734,2.57%,,,
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats, Valid Votes) :",502,7 48,6,2912863,,,,
,,,,,,,,,,,
LAKSHADWEEP,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,1,1,0,12801,50.55%,,,
,,,,,,,,,,,
,,N,JD,1,0,0,12520,49.45%,,,
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats, Valid Votes) :",2,1,0,25321,,,,
,,,,,,,,,,,
PONDICHERRY,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,1,0,1,7728,1.97%,,,
,,,,,,,,,,,
,,N,INC,1,1,0,207922,53.07%,,,
,,,,,,,,,,,
,,N,JP,1,0,1,3802,0.97%,,,
,,,,,,,,,,,
,,S,DMK,1,0,0,140313,35.81%,,,
,,,,,,,,,,,
,,S,PMK,1,0,1,13375,3.41%,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page,13 of,14),,,,10,3,,,,
"ELECTIONS - INDIA, 1991",,,VO,TES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- S,EATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED,WON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
PONDICHERRY,1,,,,,,,,,,
,,,,,,,,,,,
,S,PMM,1,0,1,2259,0.58%,,,,
,,,,,,,,,,,
,U,BKUS,1,0,1,548,0.14%,,,,
,,,,,,,,,,,
,U,DDP,1,0,1,2323,0.59%,,,,
,,,,,,,,,,,
,U,TMM,1,0,1,3421,0.87%,,,,
,,,,,,,,,,,
,Z,IND,4,0,4,10092,2.58%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",13,1,11,391783,,,,,
,,,,,,,,,,,
Grand,Total,:,8668,521,7486,275206990,,,,,
,,,,,,,,,,,
"Party, S - State Party, U - Regist",ered (,"Unrecognised) Party, Z -",Independent,,,,,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page 14 of,14),,,,1,04,,,,,
